date,geo,hashtags,id,text,type,username
2019-07-06 06:49:13+00:00,,,1147397068098420737,I love that @BarberShreds waited four hours after the LA earthquake to upload his earthquake pool videos to Instagram.,official,brandonwenerd
2019-07-06 06:48:57+00:00,,,1147397003669721088,@Jerry_tripnip marked himself as safe during the southern california earthquakes.,official,Jerry_tripnip
2019-07-06 06:48:51+00:00,,,1147396976951955456,"We were in the middle of a speech abt God and allowing to give ourselves to him when the earthquake happened. When the earthquake finished the pastor said “if there was to be an earthquake tonight, are you ready to see Jesus?” pic.twitter.com/rZt4pRXrsO – at UCLA Pauley Pavilion",official,veronicalourdez
2019-07-06 06:48:18+00:00,,,1147396837256486912,Everyone talking about earthquakes did anyone here about the NUKE that went off in OKC FOUR FIRST ROUND PICKS.,official,LK_Maxbot
2019-07-06 06:48:06+00:00,,,1147396788820725761,I hatteeeee earthquakes,official,kaaceymichelle
2019-07-06 06:47:34+00:00,,,1147396655370526720,The earthquake x fireworks combo is kinda lit. We almost at Mad Max levels. pic.twitter.com/m9NOv7g4Ud,official,TristanTaylor88
2019-07-06 06:47:33+00:00,,,1147396648282144769,This is much more devastating than these past earthquakes,official,Beast_99
2019-07-06 06:47:15+00:00,,,1147396573623664641,"Guess who will be attending more Clippers games this season? This is more exciting than experiencing the earthquakes! @North Hollywood, California https://www.instagram.com/p/BzkNadNnzI4/?igshid=14a04fbcwt33y …",official,dm322
2019-07-06 06:46:34+00:00,,#RidgeCrestpic,1147396401992568832,Asi se mira el sismograma durante el earthquake de California epicentro en #RidgeCrestpic.twitter.com/JWHB9oKGJy,official,jalcantico
2019-07-06 06:46:33+00:00,,,1147396397248835584,Adrenalin is still pumping from the earthquake and Woj bomb - looks like I won’t be going to bed anytime soon,official,tayfieux
2019-07-06 06:45:40+00:00,,,1147396175575699457,PSA!!! RUN UR WATER CUZ THERE US SHIT IN MINE AFTER THE EARTHQUAKE OR ARE MY PIPES JUST THAT BUSTED ?!?!,official,pretzelxtwister
2019-07-06 06:45:28+00:00,,,1147396126393286656,"I personally stayed in the same spot after the earthquake for an hour. Im still dizzy and i have a head ache. Let people, let people do whatever they want on their twitter. If joking about it makes it less scary for them leave them alone.",official,beybeasthomie
2019-07-06 06:45:27+00:00,,#Earthquake,1147396122228342784,Never in a million years did I think the @LAClippers would be more talked about than an actual #Earthquake in LA what are y’all doing.,official,yphmels
2019-07-06 06:45:26+00:00,,,1147396115999780870,I will celebrate today’s earthquake by having a Katherine Heigl movie marathon,official,BonniePuns
2019-07-06 06:45:22+00:00,,,1147396098966691840,The real earthquake is the Clipper news,official,iFrancisRyan
2019-07-06 06:44:38+00:00,,,1147395914694184961,"I told you I was going to be with my son. So I would not be looking at my phone as much. We've been watching movies all night. Yes there was an earthquake, we kind of noticed it, we think. We're Californians they don't mean anything. Sorry to worry you",official,mayginmcewen
2019-07-06 06:43:57+00:00,,,1147395744187351040,Yo deadass I need earthquake repellent. If I wear timbs or uggs I won’t feel the earthquake is that right?,official,yphmels
2019-07-06 06:43:46+00:00,,#RidgecrestCa #RidgecrestEarthquake #Ridgecrestpic,1147395697118830594,Earthquake in California en in restaurante #RidgecrestCa #RidgecrestEarthquake #Ridgecrestpic.twitter.com/dPz4Twka1v,official,jalcantico
2019-07-06 06:43:39+00:00,,,1147395669771952129,If you post about how annoying people posting the earthquake is thn aren’t you posting about the earthquake,official,angeljuarez060
2019-07-06 06:42:23+00:00,,,1147395350002462721,Stop tripping on the earthquakes you got stupid niggas coming up wit theories all of a sudden,official,HunnidBandTB
2019-07-06 06:42:03+00:00,,#Clippernation,1147395264887398400,"Earthquake lastnight was Kawhi coming , the one today (that was most shocking) was PG !!!!! #Clippernation",official,boach_bhris33
2019-07-06 06:41:42+00:00,,,1147395177390043136,I felt the earthquake this time.,official,FistofYang
2019-07-06 06:41:37+00:00,,,1147395156280107008,"The type of earthquakes we’ve had the last two days remind me of the feeling of sitting on a surfboard beyond the break, where the ocean slowly rolls you back and forth. Time drifts on and on and you realize how little control you really have",official,NateGolon
2019-07-06 06:41:35+00:00,,,1147395147841208320,"Yes, you are going to see earthquake tweets because people are scared. And just because it wasn't bad as other countries doesn't mean people don't have the right to be sacred.",official,beybeasthomie
2019-07-06 06:41:23+00:00,,,1147395098390302720,LA during the upcoming “big one” while earthquake shrapnel is falling and scattering: wow we are totally used to this I’ve lived in SoCal for 27 years this is NOTHING compared to 89/91,official,BonniePuns
2019-07-06 06:41:15+00:00,,,1147395063833489410,"Hey, @CNN, earthquakes are NOT weather.",official,MikeDBeardsley
2019-07-06 06:41:03+00:00,,#earthquakeagain #earthquake #KawhiLeonard #KawhiToLA #PaulGeorge #kawhi #la #losangeles #Clippers,1147395013384364032,"Wow! Big news day in LA, to say the least. #earthquakeagain #earthquake #KawhiLeonard #KawhiToLA #PaulGeorge #kawhi #la #losangeles #Clippers",official,ImShanaMangatal
2019-07-06 06:41:02+00:00,,#ITFDB #EarthquakeLA #TVForHire #Statcast #freelancerhttps,1147395010217668608,What I was doing tonight during the 7.1 magnitude earthquake... #ITFDB #EarthquakeLA #TVForHire #Statcast #freelancerhttps://twitter.com/awfulannouncing/status/1147375398470078466 …,official,hayestrev
2019-07-06 06:40:21+00:00,,,1147394836242128896,"Once you’ve lived through the ‘94 Northridge earthquake, while living in the Valley, you become desensitized. These recent earthquakes are nothing compared to that one. Get prepared.",official,inshane
2019-07-06 06:40:16+00:00,,#DarkLaird #beagle #earthquakes #superchill,1147394815946055683,"The #DarkLaird, Scotty #beagle & I watching latest http://blackmirror.netflix . Laird was the most freaked out by #earthquakes so I’m glad he’s sitting with us. The dog barely lifted his head #superchill @West Hollywood,… https://www.instagram.com/p/BzkMmvwJ9uD/?igshid=wvimoltgqnhe …",official,SevenGraham69
2019-07-06 06:40:01+00:00,,,1147394752226029568,Felt an earthquake today,official,1975tay_
2019-07-06 06:39:58+00:00,,,1147394741656403968,So scared of the earthquake I ran to Walmart to buy a bunch of stuff and it was so packed and they were out of a lot of stuff too,official,zuleey95
2019-07-06 06:39:28+00:00,,,1147394615403659264,These earthquakes are scaring me a lot,official,Candygonzalez49
2019-07-06 06:39:26+00:00,,,1147394608055242752,"My thoughts during the earthquake @STAPLESCenter: Not even the earth caving in will stop me from seeing my love, @ShawnMendes.",official,lexijulianna94
2019-07-06 06:39:13+00:00,,#earthquake,1147394550786170880,Nobody: Air Traffic Control Towers after an #earthquake: pic.twitter.com/CAvbPVtGx2 – at Hollywood Burbank Airport (BUR),official,devinjduran
2019-07-06 06:39:00+00:00,,#facts #earthquake #earthquakela,1147394498533548032,"#facts #earthquake #earthquakela @Los Angeles, California https://www.instagram.com/p/BzkMeEoAlAV/?igshid=minc5tzg50c6 …",official,monascomedy
2019-07-06 06:38:58+00:00,,,1147394488370733056,Kawhi and PG are responsible for these two earthquakes in Cali smh,official,kjlaffoon18
2019-07-06 06:38:44+00:00,,,1147394429675687936,I totally forgot we had an earthquake smh stupid ass OKC,official,iGot_kickzz
2019-07-06 06:38:36+00:00,,,1147394396100288512,Me: the ONE time I’m in LA at the top of a 22 story building No one: Literally no one: California: WoRsT EaRThQuAkE iN 50 yEaRs,official,Wynnsanity
2019-07-06 06:38:28+00:00,,,1147394362650714112,Really! First this earthquake now kawhi is going to t clippers!!,official,MartinV139
2019-07-06 06:38:20+00:00,,#badjoke #earthquakeLA #survivalpic,1147394330765619201,This earthquake got all of Los Angeles hella thirsty. #badjoke #earthquakeLA #survivalpic.twitter.com/SuDdpxk1fH – at Ralphs,official,iamcindychu
2019-07-06 06:38:10+00:00,,#FirstAidKits,1147394286498938880,"Everybody alright, right?! Man these EarthQuakes are def a warning sign of something potentially much bigger, or worse!! y’all make sure y’all got y’all #FirstAidKits y’all water, y’all canned foods cause shits about to get real forreal .",official,LookN2MyLife
